"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.981863530848436 4 57 "GO:0006576;GO:0009308" "amine metabolic process" 1
0 0.890015061993351 2 21 "GO:0006577" "amino-acid betaine metabolic process" 1
0 1 2 11 "GO:0006578" "amino-acid betaine biosynthetic process" 1
0 0.716528200496245 4 12 "GO:0006582" "melanin metabolic process" 1
0 0.900041586820317 2 78 "GO:0006605" "protein targeting" 1
0 0.672672773838721 2 34 "GO:0006606;GO:0051170" "import into nucleus" 1
0 0.775821449031953 5 40 "GO:0006612" "protein targeting to membrane" 1
0 0.793222019383235 5 15 "GO:0006613;GO:0006614;GO:0045047;GO:0072599" "establishment of protein localization to endoplasmic reticulum" 1
0 0.999424000605421 3 469 "GO:0006629" "lipid metabolic process" 1
0 0.999796485108378 2 125 "GO:0006631" "fatty acid metabolic process" 1
0 1 3 49 "GO:0006633" "fatty acid biosynthetic process" 1
0 1 6 21 "GO:0006635" "fatty acid beta-oxidation" 1
0 1 5 17 "GO:0006636;GO:0046456" "icosanoid biosynthetic process" 1
0 1 4 28 "GO:0006637;GO:0035383" "acyl-CoA metabolic process" 1
0 0.965475178705506 4 32 "GO:0006638;GO:0006639;GO:0006641" "neutral lipid metabolic process" 1
0 0.976234846395441 4 54 "GO:0006643" "membrane lipid metabolic process" 1
0 0.358651407941787 5 115 "GO:0006644" "phospholipid metabolic process" 0.873258331336971
0 0.253958129478823 4 43 "GO:0006661" "phosphatidylinositol biosynthetic process" 0.775865826132263
0 0.866333083285384 2 34 "GO:0006664;GO:1903509" "liposaccharide metabolic process" 1
0 1 2 39 "GO:0006665" "sphingolipid metabolic process" 1
0 1 4 21 "GO:0006672" "ceramide metabolic process" 1
0 1 2 16 "GO:0006687" "glycosphingolipid metabolic process" 1
0 1 2 14 "GO:0006691" "leukotriene metabolic process" 1
0 1 2 10 "GO:0006692;GO:0006693" "prostanoid metabolic process" 1
0 0.99581809893058 5 52 "GO:0006694" "steroid biosynthetic process" 1
0 0.744819633780052 2 13 "GO:0006695;GO:0016126;GO:1902653" "sterol biosynthetic process" 1
0 1 3 12 "GO:0006706" "steroid catabolic process" 1
0 0.800022716170566 5 29 "GO:0006720;GO:0006721" "isoprenoid metabolic process" 1
0 0.349530534326096 4 21 "GO:0006730" "one-carbon metabolic process" 0.855698996606423
0 0.968168544272043 -1 123 "GO:0006732;GO:0051186" "obsolete cofactor metabolic process" 1
0 0.961637512053743 -1 31 "GO:0006733;GO:0019362" "obsolete oxidoreduction coenzyme metabolic process" 1
0 1 6 15 "GO:0006739" "NADP+ metabolic process" 1
0 1 4 27 "GO:0006749" "glutathione metabolic process" 1
0 1 2 15 "GO:0006750;GO:0019184;GO:0043043" "peptide biosynthetic process" 1
0 0.605255446156841 2 546 "GO:0006753;GO:0072521;GO:0055086;GO:0009117" "nucleobase-containing small molecule metabolic process" 1
