,MMblack,MMgreen,MMturquoise,MMyellow,MMpurple,MMred,MMmagenta,MMpink,MMblue,MMbrown
AIPGENE22366,0.180576537410154,-0.00900565692308436,-0.09769975686936,-0.176528929408278,-0.0918535121338507,-0.04818191193107,-0.162493128193683,-0.128316401124233,0.102373122243172,0.135889791384085
AIPGENE22367,-0.33050888919848,0.13803132521767,0.110331992294678,0.394731634892231,0.289154438864916,0.117936197848801,0.350455418278732,0.263843086245319,-0.14531243995985,-0.229605845897033
AIPGENE22368,-0.0601237457727413,-0.217432851497274,0.260410006084745,0.270267759880786,-0.0299672681328878,-0.17174214037965,0.217652529287996,-0.0719282552717876,-0.219051017300176,-0.158322120412835
AIPGENE22371,0.35814664224639,0.00340540334874813,0.0098204707803435,-0.245240206002946,-0.299339026450234,-0.192630642450746,-0.091355090953954,-0.0229805622166955,0.0665286280796768,-0.128911937900287
AIPGENE22372,-0.0231403821692339,-0.108400144720461,0.266079868254667,0.0815767187978929,-0.130455474207528,-0.315306339955306,0.276253025225085,0.125271173491555,-0.243079952446839,-0.0557435246725589
AIPGENE22373,0.27546435656455,-0.408379127476595,-0.0440668175635027,-0.0605177455058056,-0.0880854635301816,0.163170087614713,-0.305753502565977,-0.233541930600748,0.212579315405732,-0.462821733542053
AIPGENE22375,-0.382087063607867,-0.148186055580709,-0.00969920488468435,0.423464844813416,0.256642716446697,0.184504667535774,0.276166710092078,0.191420026768653,-0.0422720330794342,-0.0799219489838732
AIPGENE22376,0.18296292653336,-0.0797750514251972,-0.0290448749507226,-0.300469268745938,-0.154027791551481,-0.0270422665174258,-0.0902531027415686,-0.00175010213501467,0.124233838405809,-0.127175840074776
AIPGENE22379,0.204629962364374,0.52434459123748,0.723953854247257,0.0760945689608105,-0.139178581297232,-0.515603844760879,0.294161936448458,-0.265213085660445,-0.670430763060287,-0.346490080228091
AIPGENE2238,-0.085713815932094,-0.249886058084219,-0.414440267579914,-0.227967512254606,-0.0936165942637945,0.0824322119101084,0.0415875522623204,0.280084645988385,0.325254005845591,0.474621241355495
AIPGENE22381,0.231625996037917,0.327093916403598,0.0947004754495398,-0.0251061735043432,0.350514662538854,0.253727017371336,-0.68878874525359,-0.744798152142984,-0.128716199027332,0.0289124091839577
AIPGENE22382,0.175105165602855,-0.691602352961321,-0.70541344491853,-0.306935009700676,-0.171016557925487,0.340143464606036,-0.380438516008048,0.150117540501232,0.78349914653214,0.158188314875045
AIPGENE22383,-0.117173467579304,-0.0341771840518974,-0.181913451962349,0.0468911864769338,0.0586012284967491,0.117028337809296,0.157388283181923,0.241040268555903,0.207100873488771,-0.0545047008399688
AIPGENE22384,-0.0209741454424249,-0.15009794562223,-0.393333147064756,-0.187881790568754,0.0237956120890459,0.365188380425737,-0.186682016889431,0.084784292735551,0.413664655988587,0.0661627131192107
AIPGENE22385,-0.337350932626367,-0.15622403902158,0.0260937533182821,0.344452001003835,0.371262081251132,0.444986814835669,-0.207005063819687,-0.193964595579399,-0.047605312586157,-0.196757957331222
AIPGENE22386,0.295715720171542,-0.0175608027911862,0.280947015606362,-0.243703338079211,-0.406006176059275,-0.493030566618632,0.202050818059644,0.0156354122511259,-0.204303822041221,-0.0513849848769173
AIPGENE22387,-0.0292115692599551,-0.116941555525803,0.0319655430635021,0.227500805948562,0.256759289380448,0.272147507908652,-0.263906091496968,-0.308070059313789,-0.0256259492738756,-0.123682320853638
AIPGENE22388,-0.206898378183228,0.310855686719997,0.238073630345774,0.245838397450888,0.153926258749239,-0.0390385042052464,0.20000681469022,-0.0469118410619614,-0.315459737304639,0.010798802101184
AIPGENE22389,-0.351032647591865,-0.252862935099746,0.062224930217475,0.566531769993153,0.351961834864725,0.356720004553668,-0.00719260018638854,-0.0671503613035781,-0.0584594436349561,-0.344993913292781
AIPGENE22390,-0.179400056064519,-0.280104629053464,-0.119847923687081,0.105008276900528,-0.0681259580402351,0.143319479941864,0.0793447269618738,0.13198112956675,0.200788316598662,-0.113991585603621
AIPGENE22394,-0.302787288737113,0.308691169228717,0.194983608539102,0.291778781420336,0.301136207800058,0.213150921902213,-0.073554038124781,-0.251583742000505,-0.285042000044683,0.0178956505280014
AIPGENE22395,0.371097991232686,-0.122309443660479,-0.310457842082102,-0.280212981486298,-0.261716104935601,-0.0138627727676392,-0.253025413229215,-0.0528499709470682,0.355179403777449,0.0608368695408126
AIPGENE22396,-0.162562924965652,-0.317359010842184,-0.138854326133109,0.102330800915145,0.209465976217727,0.184005920425757,0.0014227633861885,0.100141364737977,0.149389200299438,0.0782219293970167
AIPGENE22397,-0.0378855583291911,-0.210794069768521,-0.00161387258650634,0.0209140143812169,0.119603217802281,0.0628251961665302,-0.0342927595901987,-0.0106748189270662,-0.0321237724727963,0.11007982725695
AIPGENE22399,0.742709425327121,0.225667279983557,0.208753852546577,-0.50864897103694,-0.652897211348085,-0.589698227997385,0.100795464465979,-0.0125567124564119,-0.0407255130525794,-0.280590330788884
AIPGENE2240,0.180193772106415,-0.0538431653829693,-0.106782497276712,-0.10625212128002,-0.0337010588792314,0.134315329960126,-0.285800661073997,-0.179621036284878,0.171673936086602,-0.136388529803315
AIPGENE22403,-0.300058269373678,-0.0876910688721726,-0.258024142707857,-0.0118932772931911,0.232227209944983,0.325575460737744,-0.172130512404843,-0.110279823996022,0.102086600830059,0.481468041879754
AIPGENE22404,-0.154332145934252,0.325879135480932,-0.271694987177368,-0.201056223861373,0.155715649115334,0.0989151978653032,-0.125485853970694,0.0144094880047716,0.045086812828648,0.747959850399506
AIPGENE22405,-0.277297797359907,-0.408735866440556,-0.321885986569332,0.0829785124435582,0.0120625423510016,0.21771735667205,0.0281120950219569,0.237774193416893,0.273825065726971,0.221310451874857
